"GRID_5","PS_AREA_CODE","PROPORTION","PS_AREA","PS_AREA_NUMBER"
"6230115","IRS06ST",0.999764263629913,"9220060",4
"6230120","IRS06ST",0.999930620193481,"9220060",4
"6230125","IRS06ST",0.999986827373505,"9220060",4
"6230130","IRS06ST",0.999922037124634,"9220060",4
"6230135","IRS06ST",0.999283373355865,"9220060",4
"6235020","IRS06ST",0.999888002872467,"9220060",4
"6235025","IRS06ST",1,"9220060",4
"6235030","IRS06ST",1,"9220060",4
"6235035","IRS06ST",1,"9220060",4
"6235040","IRS06ST",1,"9220060",4
"6235045","IRS06ST",1,"9220060",4
"6235050","IRS06ST",1,"9220060",4
"6235055","IRS06ST",1,"9220060",4
"6235060","IRS06ST",1,"9220060",4
"6235065","IRS06ST",1,"9220060",4
"6235070","IRS06ST",1,"9220060",4
"6235075","IRS06ST",1,"9220060",4
"6235080","IRS06ST",1,"9220060",4
"6235085","IRS06ST",1,"9220060",4
"6235090","IRS06ST",1,"9220060",4
"6235095","IRS06ST",1,"9220060",4
"6235100","IRS06ST",1,"9220060",4
"6235105","IRS06ST",1,"9220060",4
"6235110","IRS06ST",1,"9220060",4
"6235115","IRS06ST",0.999990284442902,"9220060",4
"6235120","IRS06ST",1,"9220060",4
"6235125","IRS06ST",1,"9220060",4
"6235130","IRS06ST",1,"9220060",4
"6235135","IRS06ST",0.999941110610962,"9220060",4
"6235140","IRS06ST",0.999964237213135,"9220060",4
"6235145","IRS06ST",0.999817132949829,"9220060",4
"6240020","IRS06ST",0.999890446662903,"9220060",4
"6240025","IRS06ST",1,"9220060",4
"6240030","IRS06ST",1,"9220060",4
"6240035","IRS06ST",1,"9220060",4
"6240040","IRS06ST",1,"9220060",4
"6240045","IRS06ST",1,"9220060",4
"6240050","IRS06ST",1,"9220060",4
"6240055","IRS06ST",1,"9220060",4
"6240060","IRS06ST",1,"9220060",4
"6240065","IRS06ST",1,"9220060",4
"6240070","IRS06ST",1,"9220060",4
"6240075","IRS06ST",1,"9220060",4
"6240080","IRS06ST",1,"9220060",4
"6240085","IRS06ST",1,"9220060",4
"6240090","IRS06ST",1,"9220060",4
"6240095","IRS06ST",1,"9220060",4
"6240100","IRS06ST",1,"9220060",4
"6240105","IRS06ST",1,"9220060",4
"6240110","IRS06ST",1,"9220060",4
"6240115","IRS06ST",1,"9220060",4
"6240120","IRS06ST",1,"9220060",4
"6240125","IRS06ST",1,"9220060",4
"6240130","IRS06ST",1,"9220060",4
"6240135","IRS06ST",1,"9220060",4
"6240140","IRS06ST",1,"9220060",4
"6240145","IRS06ST",0.999881148338318,"9220060",4
"6245020","IRS06ST",0.999913036823273,"9220060",4
"6245025","IRS06ST",1,"9220060",4
"6245030","IRS06ST",1,"9220060",4
"6245035","IRS06ST",1,"9220060",4
"6245040","IRS06ST",1,"9220060",4
"6245045","IRS06ST",1,"9220060",4
"6245050","IRS06ST",1,"9220060",4
"6245055","IRS06ST",1,"9220060",4
"6245060","IRS06ST",1,"9220060",4
"6245065","IRS06ST",1,"9220060",4
"6245070","IRS06ST",1,"9220060",4
"6245075","IRS06ST",1,"9220060",4
"6245080","IRS06ST",1,"9220060",4
"6245085","IRS06ST",1,"9220060",4
"6245090","IRS06ST",1,"9220060",4
"6245095","IRS06ST",1,"9220060",4
"6245100","IRS06ST",1,"9220060",4
"6245105","IRS06ST",1,"9220060",4
"6245110","IRS06ST",1,"9220060",4
"6245115","IRS06ST",1,"9220060",4
"6245120","IRS06ST",1,"9220060",4
"6245125","IRS06ST",1,"9220060",4
"6245130","IRS06ST",1,"9220060",4
"6245135","IRS06ST",1,"9220060",4
"6245140","IRS06ST",1,"9220060",4
"6245145","IRS06ST",0.999779343605042,"9220060",4
"6250020","IRS06ST",0.999842703342438,"9220060",4
"6250025","IRS06ST",1,"9220060",4
"6250030","IRS06ST",1,"9220060",4
"6250035","IRS06ST",1,"9220060",4
"6250040","IRS06ST",1,"9220060",4
"6250045","IRS06ST",1,"9220060",4
"6250050","IRS06ST",1,"9220060",4
"6250055","IRS06ST",1,"9220060",4
"6250060","IRS06ST",1,"9220060",4
"6250065","IRS06ST",1,"9220060",4
"6250070","IRS06ST",1,"9220060",4
"6250075","IRS06ST",1,"9220060",4
"6250080","IRS06ST",1,"9220060",4
"6250085","IRS06ST",1,"9220060",4
"6250090","IRS06ST",1,"9220060",4
"6250095","IRS06ST",1,"9220060",4
"6250100","IRS06ST",1,"9220060",4
"6250105","IRS06ST",1,"9220060",4
"6250110","IRS06ST",1,"9220060",4
"6250115","IRS06ST",1,"9220060",4
"6250120","IRS06ST",1,"9220060",4
"6250125","IRS06ST",1,"9220060",4
"6250130","IRS06ST",1,"9220060",4
"6250135","IRS06ST",1,"9220060",4
"6250140","IRS06ST",1,"9220060",4
"6250145","IRS06ST",0.999974727630615,"9220060",4
"6255020","IRS06ST",1,"9220060",4
"6255025","IRS06ST",1,"9220060",4
"6255030","IRS06ST",1,"9220060",4
"6255035","IRS06ST",1,"9220060",4
"6255040","IRS06ST",1,"9220060",4
"6255045","IRS06ST",1,"9220060",4
"6255050","IRS06ST",1,"9220060",4
"6255055","IRS06ST",1,"9220060",4
"6255060","IRS06ST",1,"9220060",4
"6255065","IRS06ST",1,"9220060",4
"6255070","IRS06ST",1,"9220060",4
"6255075","IRS06ST",1,"9220060",4
"6255080","IRS06ST",1,"9220060",4
"6255085","IRS06ST",1,"9220060",4
"6255090","IRS06ST",1,"9220060",4
"6255095","IRS06ST",1,"9220060",4
"6255100","IRS06ST",1,"9220060",4
"6255105","IRS06ST",1,"9220060",4
"6255110","IRS06ST",1,"9220060",4
"6255115","IRS06ST",1,"9220060",4
"6255120","IRS06ST",1,"9220060",4
"6255125","IRS06ST",1,"9220060",4
"6255130","IRS06ST",1,"9220060",4
"6255135","IRS06ST",1,"9220060",4
"6255140","IRS06ST",1,"9220060",4
"6255145","IRS06ST",1,"9220060",4
