"GRID_1","GRID_5","PS_AREA_CODE","PS_AREA","PS_AREA_NUMBER"
"5109070","6105070","IRS08ST","9100080",8
"5109071","6105070","IRS08ST","9100080",8
"5109072","6105070","IRS08ST","9100080",8
"5109073","6105070","IRS08ST","9100080",8
"5109074","6105070","IRS08ST","9100080",8
"5109075","6105075","IRS08ST","9100080",8
"5109076","6105075","IRS08ST","9100080",8
"5109078","6105075","IRS08ST","9100080",8
"5109079","6105075","IRS08ST","9100080",8
"5109080","6105080","IRS09ST","9100100",7
"5109081","6105080","IRS09ST","9100100",7
"5109082","6105080","IRS09ST","9100100",7
"5109083","6105080","IRS09ST","9100100",7
"5109084","6105080","IRS09ST","9100100",7
"5109085","6105085","IRS09ST","9100100",7
"5109086","6105085","IRS09ST","9100100",7
"5109087","6105085","IRS09ST","9100100",7
"5109088","6105085","IRS09ST","9100100",7
"5109089","6105085","IRS09ST","9100100",7
"5109090","6105090","IRS09ST","9100100",7
"5109091","6105090","IRS09ST","9100100",7
"5109092","6105090","IRS09ST","9100100",7
"5109093","6105090","IRS09ST","9100100",7
"5109094","6105090","IRS09ST","9100100",7
"5109095","6105095","IRS09ST","9100100",7
"5109096","6105095","IRS09ST","9100100",7
"5109097","6105095","IRS09ST","9100100",7
"5109098","6105095","IRS09ST","9100100",7
"5110043","6110040","IRS07ST","9120040",9
"5110044","6110040","IRS07ST","9120040",9
"5110045","6110045","IRS07ST","9120040",9
"5110046","6110045","IRS07ST","9120040",9
"5110047","6110045","IRS07ST","9120040",9
"5110050","6110050","IRS01ST","9100040",0
"5110051","6110050","IRS01ST","9100040",0
"5110052","6110050","IRS01ST","9100040",0
"5110053","6110050","IRS01ST","9100040",0
"5110054","6110050","IRS01ST","9100040",0
"5110055","6110055","IRS01ST","9100040",0
"5110056","6110055","IRS01ST","9100040",0
"5110057","6110055","IRS01ST","9100040",0
"5110058","6110055","IRS01ST","9100040",0
"5110059","6110055","IRS01ST","9100040",0
"5110060","6110060","IRS01ST","9100040",0
"5110061","6110060","IRS01ST","9100040",0
"5110062","6110060","IRS01ST","9100040",0
"5110063","6110060","IRS01ST","9100040",0
"5110064","6110060","IRS01ST","9100040",0
"5110065","6110065","IRS01ST","9100040",0
"5110066","6110065","IRS01ST","9100040",0
"5110067","6110065","IRS01ST","9100040",0
"5110068","6110065","IRS01ST","9100040",0
"5110069","6110065","IRS01ST","9100040",0
"5110070","6110070","IRS08ST","9100080",8
"5110071","6110070","IRS08ST","9100080",8
"5110072","6110070","IRS08ST","9100080",8
"5110073","6110070","IRS08ST","9100080",8
"5110074","6110070","IRS08ST","9100080",8
"5110075","6110075","IRS08ST","9100080",8
"5110076","6110075","IRS08ST","9100080",8
"5110079","6110075","IRS08ST","9100080",8
"5110079","6110075","IRS09ST","9100100",7
"5110080","6110080","IRS09ST","9100100",7
"5110081","6110080","IRS09ST","9100100",7
"5110082","6110080","IRS09ST","9100100",7
"5110083","6110080","IRS09ST","9100100",7
"5110084","6110080","IRS09ST","9100100",7
"5110085","6110085","IRS09ST","9100100",7
"5110086","6110085","IRS09ST","9100100",7
"5110087","6110085","IRS09ST","9100100",7
"5110088","6110085","IRS09ST","9100100",7
"5110089","6110085","IRS09ST","9100100",7
"5110090","6110090","IRS09ST","9100100",7
"5110091","6110090","IRS09ST","9100100",7
"5110092","6110090","IRS09ST","9100100",7
"5110093","6110090","IRS09ST","9100100",7
"5110094","6110090","IRS09ST","9100100",7
"5110095","6110095","IRS09ST","9100100",7
"5110096","6110095","IRS09ST","9100100",7
"5110097","6110095","IRS09ST","9100100",7
"5110098","6110095","IRS09ST","9100100",7
"5111042","6110040","IRS07ST","9120040",9
"5111043","6110040","IRS07ST","9120040",9
"5111044","6110040","IRS07ST","9120040",9
"5111045","6110045","IRS07ST","9120040",9
"5111046","6110045","IRS07ST","9120040",9
"5111047","6110045","IRS07ST","9120040",9
"5111048","6110045","IRS07ST","9120040",9
"5111049","6110045","IRS07ST","9120040",9
"5111050","6110050","IRS01ST","9100040",0
"5111050","6110050","IRS07ST","9120040",9
"5111051","6110050","IRS01ST","9100040",0
"5111052","6110050","IRS01ST","9100040",0
"5111053","6110050","IRS01ST","9100040",0
"5111054","6110050","IRS01ST","9100040",0
"5111055","6110055","IRS01ST","9100040",0
"5111056","6110055","IRS01ST","9100040",0
"5111057","6110055","IRS01ST","9100040",0
"5111058","6110055","IRS01ST","9100040",0
"5111059","6110055","IRS01ST","9100040",0
"5111060","6110060","IRS01ST","9100040",0
"5111061","6110060","IRS01ST","9100040",0
"5111062","6110060","IRS01ST","9100040",0
"5111063","6110060","IRS01ST","9100040",0
"5111064","6110060","IRS01ST","9100040",0
"5111065","6110065","IRS01ST","9100040",0
"5111066","6110065","IRS01ST","9100040",0
"5111067","6110065","IRS01ST","9100040",0
"5111068","6110065","IRS01ST","9100040",0
"5111069","6110065","IRS01ST","9100040",0
"5111070","6110070","IRS08ST","9100080",8
"5111071","6110070","IRS08ST","9100080",8
"5111072","6110070","IRS08ST","9100080",8
"5111073","6110070","IRS08ST","9100080",8
"5111074","6110070","IRS08ST","9100080",8
"5111075","6110075","IRS08ST","9100080",8
"5111079","6110075","IRS09ST","9100100",7
"5111080","6110080","IRS09ST","9100100",7
"5111081","6110080","IRS09ST","9100100",7
"5111082","6110080","IRS09ST","9100100",7
